Attached kprobe to mutex_lock and kretprobe to mutex_unlock
Attached kprobe to _raw_write_lock and kretprobe to _raw_write_unlock
Attached kprobe to _raw_read_lock and kretprobe to _raw_read_unlock
Tracing  locks for 30 seconds
TIME(s)            COMM             PID    LOCKTIME
0.000000000        b'mongod'        335091 335080 18388517939129513760 0.000071     70505.000000    70505 
0.000105629        b'mongod'        335091 335080 18388517939129513760 0.000112     76551.000000    6046  
0.000152045        b'mongod'        335091 335080 18388517939129512736 0.000170     17565.000000    17565 
0.000178574        b'mongod'        335091 335080 18388517939129512736 0.000181     20375.000000    2810  
1.000340060        b'mongod'        335091 335080 18388517939129512736 1.000376     55909.000000    35534 
1.000393774        b'mongod'        335091 335080 18388517939129512736 1.000397     58888.000000    2979  
1.000823640        b'mongod'        335091 335080 18388517939129513760 1.000842     94801.000000    18250 
1.000856775        b'mongod'        335091 335080 18388517939129513760 1.000862     100240.000000   5439  
2.001003356        b'mongod'        335091 335080 18388517939129513760 2.001033     130270.000000   30030 
2.001049185        b'mongod'        335091 335080 18388517939129513760 2.001052     133200.000000   2930  
2.001087399        b'mongod'        335091 335080 18388517939129512736 2.001105     76139.000000    17251 
2.001115124        b'mongod'        335091 335080 18388517939129512736 2.001118     78789.000000    2650  
0.630907009        b'ftdc'          335100 335080 18388517938844771920 0.630934     1234447.000000  26990 
0.630893604        b'ftdc'          335100 335080 18388517939027210784 0.630954     193748.000000   60216 
0.633846820        b'ftdc'          335100 335080 18388517938844771920 0.633873     1260477.000000  26030 
0.633839315        b'ftdc'          335100 335080 18388517939027208736 0.633880     352054.000000   40436 
0.633969020        b'ftdc'          335100 335080 18388517938844771920 0.633986     1277830.000000  17353 
0.633962470        b'ftdc'          335100 335080 18388517939027211552 0.633994     259161.000000   31929 
0.634647653        b'ftdc'          335100 335080 18388517938844771920 0.634849     1478842.000000  201012
0.634642988        b'ftdc'          335100 335080 18388517939027209760 0.634857     313223.000000   214483
0.634880245        b'ftdc'          335100 335080 18388517938844771920 0.634882     1480982.000000  2140  
0.634876090        b'ftdc'          335100 335080 18388517939027209760 0.634890     327273.000000   14050 
